source_raw,source_type,relation,target_raw,target_type,source_chunk_id,published_date,evidence,confidence,pipeline_signature
Options Technology,Company,PARTNERED_WITH,Microsoft,Company,a2fe2cc636f39a18f032::c0000,2023-05-10,Options Technology the leading provider of cloud-enabled managed services to the global capital markets today announced its achievement of Microsoft Solutions Partner designation for Infrastructure.,1.0,gold51-coref5-gptoss20b-strict-v2
Options Technology,Company,PARTNERED_WITH,Microsoft,Company,f73febf774301e802436::c0000,2023-06-08,Options Technology the leading provider of cloud-enabled managed services to the global capital markets today announced its achievement of Microsoft Solutions Partner designation for Security.,1.0,gold51-coref5-gptoss20b-strict-v2
ServiceNow,Company,DEVELOPED,Generative AI Features,Technology,888196b6e1e07e67c3ae::c0000,2023-07-26,ServiceNow Expands Generative AI Capabilities With Case Summarization and Text-to-Code to Drive Speed Productivity and Value.,1.0,gold51-coref5-gptoss20b-strict-v2
ServiceNow,Company,DEVELOPED,Now Assist for Virtual Agent,Technology,5d479b59c6d424d4a679::c0000,2023-06-13,ServiceNow extends its AI capabilities with Now Assist for Virtual Agent,1.0,gold51-coref5-gptoss20b-strict-v2
ServiceNow,Company,DEVELOPED,ServiceNow Generative AI Controller,Technology,84b909fc526ba22d835f::c0000,2023-06-13,Now Assist for Virtual Agent is powered by ServiceNow Generative AI Controller,1.0,gold51-coref5-gptoss20b-strict-v2
Aeris,Company,ACQUIRED,IoT business from Ericsson,Technology,4f1346392056a403277d::c0000,2022-12-07,Aeris to acquire IoT business from Ericsson,1.0,gold51-coref5-gptoss20b-strict-v2
Dell Technologies Inc.,Company,DEVELOPED,Apex Cloud Platforms,Technology,e826dd76339fcf0d6a9b::c0000,2023-05-26,new Apex Cloud Platforms integrates services from Microsoft Azure,1.0,gold51-coref5-gptoss20b-strict-v2
Dell Technologies Inc.,Company,USES,Microsoft Azure,Technology,e826dd76339fcf0d6a9b::c0000,2023-05-26,new Apex Cloud Platforms integrates services from Microsoft Azure,1.0,gold51-coref5-gptoss20b-strict-v2
OpenAI,Company,DEVELOPED,AI models,Technology,264d1b9d346656ddf765::c0000,2023-06-20,OpenAI plans app store for AI software ... marketplace that will allow developers to sell their AI models built on top of its own AI technology,1.0,gold51-coref5-gptoss20b-strict-v2
Microsoft,Company,DEVELOPED,AI tools,Technology,6a5730b76e8157e83d44::c0000,2023-03-17,Microsoft is infusing artificial intelligence tools into its Office software including Word Excel and Outlook emails. The company said Thursday the new feature named Copilot is a processing engine that will allow users to do things like summarize long emails,1.0,gold51-coref5-gptoss20b-strict-v2
Amazon,Company,USES,Cohere,Company,6ec376fffd2c56fef630::c0000,2023-07-26,Amazon announced new AI tools on Wednesday including a program for building more conversational customer-service agents technology access from the startup Cohere,1.0,gold51-coref5-gptoss20b-strict-v2
Amazon Web Services,Company,USES,Advanced Micro Devices Inc new AI chips,Technology,ec3ce18d568e33867724::c0000,2023-06-14,Amazon Web Services the world''s largest cloud computing provider is considering using new artificial intelligence chips from Advanced Micro Devices Inc,1.0,gold51-coref5-gptoss20b-strict-v2
Microsoft,Company,DEVELOPED,Microsoft Copilot for Windows,Technology,3a5ed6555cadb4149f58::c0000,2023-09-21,Microsoft Copilot for Windows launches September 26th and unifies several formerly separate Copilot assistants,1.0,gold51-coref5-gptoss20b-strict-v2
KPMG,Company,INVESTED_IN,Microsoft,Company,35f9e232b3c44ebab014::c0000,2023-07-11,KPMG said on Tuesday it will spend $2 billion on artificial intelligence and cloud services through an expanded partnership with Microsoft,1.0,gold51-coref5-gptoss20b-strict-v2
HPE,Company,DEVELOPED,cloud computing service for artificial intelligence,Technology,2b93beef6173b1d20f74::c0000,2023-06-21,"""HPE to offer cloud computing service for artificial intelligence""",1.0,gold51-coref5-gptoss20b-strict-v2
Microsoft,Company,DEVELOPED,cloud data processing hub,Technology,faa5aa220169e034c02b::c0000,2023-04-26,"""Microsoft opens top cloud data processing hub in Poland""",1.0,gold51-coref5-gptoss20b-strict-v2
AMD,Company,DEVELOPED,chips,Technology,7d21e479ed47024a21cd::c0000,2023-06-01,"""AMD is powering multiple cloud services through its chips""",1.0,gold51-coref5-gptoss20b-strict-v2
Google Cloud,Company,USES,Llama 2,Technology,d6614d10117d6d80778e::c0000,2023-08-29,Google Cloud is announcing availability of Llama 2,1.0,gold51-coref5-gptoss20b-strict-v2
Google Cloud,Company,USES,Code Llama,Technology,d6614d10117d6d80778e::c0000,2023-08-29,availability of Code Llama from Meta,1.0,gold51-coref5-gptoss20b-strict-v2
Google Cloud,Company,USES,Falcon,Technology,d6614d10117d6d80778e::c0000,2023-08-29,Technology Innovative Institute's Falcon LLM,1.0,gold51-coref5-gptoss20b-strict-v2
Google Cloud,Company,USES,Claude 2,Technology,d6614d10117d6d80778e::c0000,2023-08-29,pre-announcing Claude 2 from Anthropic,1.0,gold51-coref5-gptoss20b-strict-v2
Microsoft,Company,DEVELOPED,Azure OpenAI Service,Technology,0f5fa36a88eaffbb32a0::c0000,2023-06-09,Microsoft unveils OpenAI service for government customers. The company unveiled its new Azure OpenAI Service for federal agencies,1.0,gold51-coref5-gptoss20b-strict-v2
Bill Chappell,Person,WORKED_AT,Strategic Missions and Technologies,Company,0f5fa36a88eaffbb32a0::c0000,2023-06-09,Bill Chappell chief technology officer for Strategic Missions and Technologies,1.0,gold51-coref5-gptoss20b-strict-v2
Intel,Company,DEVELOPED,3D V-Cache Tech,Technology,73f6d5535f26475909a8::c0000,2023-09-19,Intel: Our 3D V-Cache Tech Will Take a Different Approach Than AMD. The company plans to use the chip-stacking tech for Intel processors,1.0,gold51-coref5-gptoss20b-strict-v2
OpenAI,Company,DEVELOPED,ChatGPT plug-ins,Technology,d3aec9a183518a21016a::c0000,2023-03-24,OpenAI's ChatGPT gets support for a dozen application plug-ins. The plug-ins will enable companies to offer the AI-based natural language processor,1.0,gold51-coref5-gptoss20b-strict-v2
Dell Technologies Inc.,Company,DEVELOPED,Dell NativeEdge,Technology,574a610073dca3212ec1::c0000,2023-05-24,Dell unveils its long-term game plan for the edge. The other major news at Dell Technologies World in Las Vegas today was the release of Dell NativeEdge,1.0,gold51-coref5-gptoss20b-strict-v2
Hewlett Packard Enterprise,Company,ACQUIRED,Axis Security,Company,325f8db4aaab2eaf00b9::c0000,2023-03-02,Hewlett Packard Enterprise (NYSE: HPE) today announced that it entered into a definitive agreement to acquire Axis Security a cloud security provider.,1.0,gold51-coref5-gptoss20b-strict-v2
